age,income,monthly_spend,tenure_months,label
24,63432.3,512.04,67,0
53,59472.5,885.81,77,1
42,51436.5,835.69,90,0
35,46419.27,1585.77,57,0
29,42599.51,1604.56,99,0
47,49001.65,1127.09,45,0
52,63727.75,1003.98,65,1
66,71017.31,1269.96,19,1
40,65920.56,791.71,74,1
26,51220.37,626.58,32,0
61,81203.32,729.89,83,1
50,78309.43,882.59,96,1
54,62126.33,618.26,103,1
23,53247.51,1281.03,111,0
34,74871.7,1564.86,15,0
57,68383.52,406.45,17,0
61,38933.71,1212.56,111,1
40,63776.36,1090.03,46,0
59,69716.64,1370.75,4,0
61,48805.49,1193.53,35,0
38,68417.18,473.2,100,0
64,38813.2,568.81,43,1
32,89051.35,1214.71,10,0
30,87463.1,1714.39,86,1
53,60454.69,100.0,24,0
51,71542.18,1372.86,42,1
25,21621.4,1794.81,1,0
61,44185.74,1123.49,72,1
28,59711.98,1475.1,53,0
59,45701.61,848.47,104,0
18,77859.14,1140.32,40,0
59,100951.34,389.54,25,1
58,43820.94,100.0,20,1
58,49925.66,1671.38,24,1
52,69238.07,707.5,54,0
42,94000.09,972.24,11,0
54,42997.26,506.78,48,0
32,69482.65,495.02,102,0
58,97783.38,1113.08,92,0
46,35268.34,835.21,76,0
41,41940.75,1388.99,107,0
44,57375.08,1426.27,93,0
47,55629.41,1360.42,78,0
19,79626.82,1319.3,103,0
25,69349.87,1988.88,15,0
30,33050.68,666.2,98,0
23,74277.39,1172.53,36,0
40,54604.3,1766.34,88,1
52,87940.05,1832.27,109,1
52,53703.42,489.12,60,0
42,53540.92,1043.82,11,0
62,74740.37,1879.06,45,0
47,78732.68,1454.04,49,1
22,73065.79,1297.63,112,1
57,34659.25,1091.16,113,1
47,74684.62,1008.1,68,0
51,46382.46,1344.11,114,1
47,69234.97,1073.81,52,0
46,39372.78,1178.71,49,0
22,73033.8,1239.3,100,0
47,50481.22,860.96,80,0
59,41912.58,1466.06,63,0
33,77848.76,2657.12,55,1
49,69349.6,311.51,84,0
19,53948.42,1362.01,90,0
36,91121.22,819.9,59,1
40,57068.26,1488.7,4,0
69,65577.94,1223.28,13,0
29,69840.44,1580.93,18,0
32,53846.01,1787.75,55,0
39,73480.45,1296.21,74,0
69,55397.86,1766.03,96,1
62,57590.51,100.0,28,1
19,89527.57,1995.23,94,1
30,46269.45,1387.53,80,0
60,21569.95,1738.92,7,1
21,93996.87,590.06,42,0
62,110887.9,784.62,37,1
32,57705.15,1272.97,106,0
65,30136.92,1191.48,110,1
33,59411.29,1341.53,98,0
40,59847.99,1742.26,63,1
52,61581.37,317.39,59,0
24,44959.02,1686.91,38,1
46,75432.1,1204.14,92,0
44,74441.13,1098.11,11,0
58,38100.7,464.44,33,0
69,77585.54,1451.52,17,1
52,101948.33,100.0,59,0
39,68095.29,1524.2,36,1
39,58928.15,453.95,24,0
39,62443.94,1226.73,45,0
60,76074.62,1140.42,103,1
34,33847.91,1784.77,67,0
26,67959.03,1110.67,98,0
35,57971.65,852.93,109,0
19,98260.85,946.7,108,0
23,61864.89,1836.44,42,1
22,95021.98,1468.15,105,0
58,45132.67,1007.19,109,1
55,75570.67,1081.78,115,1
54,70749.2,416.41,42,1
42,49357.15,1394.24,28,0
55,68193.13,320.09,70,0
26,86825.34,1575.9,111,0
64,59171.75,1264.31,108,1
44,34544.67,2393.48,68,0
66,64683.87,649.93,18,0
25,48756.38,1148.67,51,0
43,58837.86,2099.14,85,1
54,63531.42,1795.69,67,0
43,34298.26,851.89,42,0
41,35918.15,1311.98,41,0
26,73677.2,1201.0,8,1
37,55591.06,1340.98,35,0
30,18834.6,850.66,80,0
33,79127.19,1155.34,29,1
53,69902.66,400.97,119,1
50,52150.25,1267.56,10,0
49,41297.06,1425.01,71,0
36,80044.54,1086.29,60,0
67,71288.31,392.47,100,1
22,107886.84,1694.27,106,1
35,72563.39,1382.26,65,0
24,71978.66,836.99,75,0
35,61995.3,1059.7,84,1
68,79701.97,449.67,62,0
37,76251.53,687.29,23,0
65,87531.05,931.09,52,1
43,55616.19,1814.21,29,0
54,57162.67,880.25,56,0
41,56376.14,1520.11,74,0
31,79234.43,930.84,25,0
57,91970.74,1323.97,30,0
68,56740.87,1129.3,98,1
31,57354.07,1636.53,45,0
58,70653.39,932.59,24,0
31,60576.29,413.74,85,0
55,82136.97,509.03,86,0
59,24468.01,934.06,99,0
41,50119.31,575.47,91,0
56,50916.51,1405.11,119,1
32,23233.59,967.12,69,0
22,47654.51,2387.3,35,0
23,48527.19,331.14,103,0
41,61380.12,1301.82,32,0
64,85033.39,636.02,35,1
24,60588.91,953.3,99,0
41,46445.35,1270.71,105,0
54,63974.82,100.0,41,0
28,83885.13,1318.41,87,0
55,47432.74,2151.45,110,1
33,48609.65,973.28,96,0
60,75053.88,1329.9,1,0
48,61012.35,1712.46,80,0
46,76654.72,1118.02,21,0
27,64754.36,909.52,101,1
42,77629.95,100.0,8,0
62,46368.59,1520.5,119,1
19,64782.48,1143.42,22,0
57,61207.58,693.66,50,0
43,43113.96,1263.3,28,0
55,36857.4,908.16,97,0
52,77343.48,935.79,47,0
40,58682.86,1503.15,89,0
34,46598.95,530.81,8,0
50,63268.78,1723.66,54,1
25,85304.34,501.16,109,0
48,23946.72,868.65,111,0
22,38060.5,2161.47,25,0
51,48388.04,1763.68,47,1
50,91301.22,1248.8,49,1
22,70086.57,729.73,68,0
57,78811.71,935.36,64,1
39,44477.1,1236.64,13,0
58,44848.35,1218.76,91,0
20,73060.65,1154.56,27,0
27,66048.94,1184.58,38,0
43,74877.3,1092.81,101,1
27,61621.92,479.01,83,0
35,70006.59,941.74,48,1
52,67846.14,1657.31,109,1
25,78999.81,515.83,47,0
53,79526.15,1105.22,68,0
23,35842.3,790.12,30,0
27,24549.17,1255.68,22,0
48,83031.42,1005.68,59,0
59,86379.05,1938.7,67,1
26,46628.79,1453.29,96,0
33,31522.96,544.1,47,0
66,66782.63,1535.61,107,1
69,81755.09,812.67,73,1
48,97356.7,911.5,9,1
41,74293.36,1356.91,88,0
36,58309.1,954.13,69,0
49,48923.65,1646.43,47,0
48,65206.12,812.74,56,1
33,59613.24,890.53,36,0
19,46728.78,871.81,74,1
25,101877.6,917.18,68,0
67,97133.03,1749.6,54,1
39,85448.88,1514.4,34,1
43,48424.69,2054.97,48,1
42,80390.35,2333.82,60,1
58,76513.28,684.64,57,1
21,72965.82,1235.21,37,0
22,87493.97,611.9,70,0
32,76436.68,811.2,27,0
43,78320.26,884.96,60,0
52,76464.31,671.42,15,0
43,71134.25,674.06,57,0
40,32895.0,1127.86,94,0
66,66505.18,591.64,98,0
26,54988.54,1621.06,83,0
47,41962.86,741.12,89,0
46,95272.7,2604.78,8,0
42,96121.92,974.31,41,1
59,89465.97,1236.01,78,1
31,69593.84,552.33,96,0
67,89311.25,2053.05,70,1
35,65216.96,1759.75,102,0
46,68650.35,1348.46,33,0
45,45317.52,526.6,19,0
62,72145.84,1305.33,11,1
40,66086.95,639.28,70,0
32,41552.26,1931.18,80,0
19,64078.45,1604.6,34,0
36,63564.87,1247.72,94,0
60,97356.1,100.0,88,0
18,81095.84,708.29,43,0
64,65206.02,1543.88,29,0
46,69478.17,1806.44,89,1
25,65795.82,1754.58,80,0
33,61347.55,403.99,21,0
46,45516.31,1350.78,31,0
34,62281.07,1707.76,58,0
23,51570.23,370.83,61,0
52,42494.32,1196.05,20,0
52,74201.99,1336.92,113,1
24,72042.76,1049.62,47,0
32,32839.26,273.92,46,0
30,62791.68,1037.15,8,0
52,82922.62,1036.35,105,0
55,84066.03,1125.96,28,1
55,83465.06,918.26,118,0
66,65700.44,978.49,60,1
57,49789.18,1180.15,105,0
34,45493.42,1421.23,22,0
23,71202.89,1047.79,20,0
49,71827.04,995.18,96,0
65,88171.96,1246.18,98,1
68,84799.63,239.54,65,0
29,62619.88,1438.52,4,0
30,42604.29,1199.72,113,1
19,59256.08,1219.85,47,0
25,68910.16,1680.37,112,0
46,61362.5,223.59,104,1
46,54597.91,213.08,102,0
37,69551.93,1336.9,82,0
34,55928.76,1196.44,81,0
61,53694.81,1285.09,64,1
41,70606.15,968.94,3,0
60,57764.13,1532.18,47,1
68,69393.88,1666.32,87,1
34,69917.67,1441.99,97,1
28,44490.28,1069.59,67,0
67,56337.66,146.16,85,0
51,90879.98,1584.62,3,0
33,44082.57,1810.86,56,1
50,26900.22,1522.28,61,0
44,31486.79,760.18,107,0
65,65523.98,1536.9,38,1
31,65556.51,1630.26,28,0
69,62883.0,1979.41,42,1
66,86855.42,761.95,21,0
27,16888.98,1086.77,67,0
26,72126.81,1573.64,77,0
45,93105.89,1228.71,96,1
20,44699.95,641.34,116,0
33,58163.48,1407.31,9,0
40,51447.95,1489.33,30,0
68,48901.77,1243.98,36,0
69,59127.28,1309.79,30,1
25,90694.74,1070.65,99,1
64,98072.96,1939.14,17,1
22,58953.09,749.65,4,0
56,99291.08,906.34,103,1
61,65640.38,1205.49,115,1
64,96566.44,1639.48,27,1
29,63320.62,451.31,40,0
64,67359.04,544.85,60,0
24,71578.54,181.14,63,0
44,122219.37,1216.35,118,1
42,80323.14,640.85,49,1
34,52269.24,1007.72,2,0
19,82441.96,1530.69,51,1
58,58487.01,879.23,67,1
35,56184.5,1315.64,62,0
52,81354.82,1050.33,61,0
39,65559.54,1536.06,110,0
37,70014.37,1437.56,97,0
64,65251.73,854.03,30,0
22,71058.5,1115.67,43,0
56,72649.39,1721.87,80,1
56,30134.6,1396.69,49,0
37,76998.31,501.52,51,0
31,47323.65,1527.81,20,1
18,39038.62,657.69,31,0
66,63948.6,1906.26,89,1
67,66511.66,1712.05,101,0
30,52516.89,1344.94,94,1
19,79958.57,1278.62,37,0
24,40840.85,1095.48,17,0
21,57675.01,1539.26,20,0
61,54472.27,1014.61,47,0
64,64161.43,1317.78,62,1
25,70019.56,1635.97,107,0
56,46857.93,919.1,107,0
27,78037.09,891.9,1,0
37,66134.04,602.82,85,0
49,30944.97,667.76,36,0
55,29745.35,285.8,24,0
63,64778.25,1564.91,67,1
20,61022.59,2104.46,5,0
28,63138.44,1912.66,40,1
32,64496.32,386.96,66,0
34,69060.08,1562.43,33,0
69,82057.69,1911.05,71,1
58,45000.11,971.6,55,1
34,43904.51,1250.72,96,0
68,45320.17,196.05,22,0
43,70200.5,1333.37,7,0
44,87409.05,668.22,64,0
40,57235.89,1299.82,31,0
25,19969.4,419.4,85,0
66,34328.13,1471.43,12,0
18,50005.34,1712.26,69,0
27,54960.88,808.41,118,0
29,57649.0,631.54,12,0
32,65694.46,121.99,36,0
24,59388.57,1066.79,101,0
18,83888.11,909.2,64,0
53,52831.69,424.49,21,0
68,49478.28,1426.51,26,1
24,73619.76,975.01,92,0
33,37358.44,662.13,103,0
44,72014.45,922.71,43,0
66,66845.96,1735.65,57,1
54,62346.04,1501.47,94,0
57,93588.97,1134.99,22,1
48,53800.27,1509.55,25,0
39,102085.37,619.54,93,0
28,60942.23,1216.19,23,0
62,42013.7,1273.66,92,1
59,66258.55,965.08,60,1
19,45627.59,1417.73,118,0
55,51468.39,809.78,4,0
22,72146.6,1454.91,113,0
56,75000.48,1475.93,27,0
60,53800.98,100.0,5,0
24,82773.29,1795.15,87,1
40,85835.14,100.0,64,0
24,90853.43,891.98,100,0
47,74529.44,1712.67,13,1
66,89541.72,1041.36,10,0
22,31145.63,466.91,68,0
38,59277.68,653.13,105,1
68,49393.91,1713.45,49,1
33,67146.07,239.25,95,0
24,54713.91,1764.5,108,0
43,62009.16,1172.45,104,1
44,98879.15,603.8,61,0
52,61945.04,908.44,84,1
34,72448.26,691.39,63,0
67,60819.15,1633.11,81,0
45,66362.84,1566.21,68,1
32,65108.3,340.42,63,0
67,73069.83,998.2,52,1
66,85975.54,768.41,78,0
43,94653.09,1846.75,90,1
19,70573.16,524.95,110,1
49,75611.84,2002.11,73,1
46,44284.44,1183.35,12,0
25,63418.22,619.03,70,0
50,81925.21,861.36,38,1
61,80587.44,799.19,4,1
23,68808.98,562.69,9,0
55,80955.09,1247.41,71,1
25,73833.8,586.04,113,0
56,86605.51,109.82,61,0
39,70208.46,1010.16,53,0
18,58597.43,298.57,11,0
68,71045.14,823.92,81,0
26,15000.0,745.45,7,0
48,71891.94,764.39,101,1
27,15000.0,2200.48,98,0
66,33977.66,1228.21,118,0
56,73131.83,1322.69,34,1
59,73595.53,311.8,20,0
40,44076.28,873.02,36,0
42,52182.16,1307.65,96,1
50,89669.74,687.74,27,1
58,56287.46,1654.03,106,1
62,105372.57,598.65,19,0
18,64965.44,1056.82,6,0
52,72344.65,906.97,27,0
23,94103.74,1282.16,90,1
32,67358.49,879.75,72,1
61,46957.81,1064.55,43,0
31,63024.91,1081.93,79,0
59,64359.01,832.81,78,0
42,40434.65,1442.55,67,1
30,60395.02,1319.19,62,0
35,51640.54,1155.69,13,0
45,81638.44,984.77,31,0
57,65623.01,1598.27,63,1
49,59909.68,1082.08,17,1
66,63088.73,1046.65,57,0
63,69016.2,1252.35,14,1
57,76102.66,2048.29,94,1
49,47005.18,529.82,13,0
33,46251.42,1584.93,12,0
39,84884.23,253.41,76,0
24,57577.94,1308.64,27,0
37,39496.84,1987.54,42,1
66,72988.63,1444.33,38,1
40,73340.66,1285.31,26,0
23,37447.13,919.78,91,0
51,69130.67,1215.52,83,1
68,78240.5,1073.97,29,0
63,71738.96,807.01,82,1
32,76375.67,1055.06,85,0
41,39723.16,1299.19,65,0
45,70958.72,816.39,69,1
30,59552.84,796.86,112,0
31,56309.78,519.88,55,0
30,80670.0,1395.36,46,0
69,91626.94,1472.66,65,0
56,97298.66,1315.83,100,1
61,88666.54,1682.59,85,1
60,63024.78,1243.93,9,0
67,71348.96,1396.01,55,1
23,78802.81,1351.92,89,0
63,67181.2,1154.23,27,1
21,67353.76,934.59,118,0
42,79827.56,2307.08,97,1
48,63932.91,974.02,101,0
36,51872.84,867.06,10,0
25,57539.48,1417.0,69,0
27,76410.39,1325.93,63,0
60,65053.88,497.6,75,0
34,71123.78,1761.34,102,0
34,77061.43,1152.9,43,0
66,58252.85,644.53,64,0
25,78612.47,1794.39,81,1
65,71819.17,1512.84,90,0
65,42773.36,567.73,92,1
49,90961.49,2088.59,41,1
26,55986.59,1529.4,119,0
26,35208.28,1194.9,2,0
32,46189.21,1995.11,59,1
48,46621.19,1279.65,73,0
25,65939.12,1185.96,8,0
41,60070.69,869.85,54,0
24,58937.02,1490.93,71,0
46,76154.64,1438.3,73,1
19,71117.76,1207.34,15,0
54,70688.86,805.01,34,0
20,72376.91,1264.96,30,0
28,76090.42,1165.1,77,0
27,27056.84,533.26,40,0
61,58440.11,464.09,69,0
20,25756.22,1482.58,87,0
40,65649.08,100.0,95,1
48,64916.61,1302.71,22,1
44,83819.58,960.96,108,0
53,86377.42,1854.12,20,0
59,68649.95,953.27,3,0
38,55993.5,1529.74,6,0
61,73732.9,1001.54,24,1
34,55497.48,1256.87,104,0
69,64974.93,1568.42,25,1
44,82750.45,968.72,83,1
56,54960.12,1698.28,50,0
63,79502.22,703.15,5,0
59,77193.22,1347.3,53,1
62,47813.75,1661.32,4,1
45,82530.09,1530.02,57,0
20,77574.19,2158.22,67,0
43,66834.67,818.28,63,0
27,51278.18,510.43,34,0
64,49534.29,702.83,92,0
30,55322.07,1530.22,72,0
29,74766.7,1448.96,31,0
30,47798.75,1251.13,52,0
51,72875.22,638.52,13,0
47,42648.4,1583.43,110,1
67,61326.77,587.65,90,1
39,66973.66,1779.47,35,1
32,109012.34,2628.72,81,1
20,40208.32,1383.23,81,0
18,91496.26,1491.55,73,1
37,67697.16,953.57,7,0
66,72401.09,294.89,105,1
45,67130.26,898.64,114,1
64,73005.08,653.55,116,1
23,62233.67,476.5,117,1
22,91172.9,2061.18,111,1
61,56783.52,1336.43,88,1
23,85380.22,1389.84,7,1
20,53401.39,1045.49,56,0
39,63915.47,1113.56,30,0
66,45704.67,1682.28,27,0
53,73190.43,1183.83,99,1
23,91012.27,1465.35,97,1
61,63607.59,1102.0,63,1
61,61456.06,1028.92,88,0
59,44936.89,496.54,16,0
64,60872.73,211.13,27,1
30,36329.7,1069.22,103,0
68,48568.2,1228.25,54,1
34,69082.15,556.93,66,0
59,88742.24,1182.76,56,0
48,115565.8,1226.88,25,1
58,54441.47,122.0,99,0
50,90835.4,742.44,91,1
51,69387.54,1403.63,82,1
50,62277.54,1393.53,43,0
58,72786.7,623.16,77,1
56,66114.5,1279.22,114,1
24,66987.12,1711.2,78,0
60,57650.0,1588.54,59,1
45,39834.03,1152.36,33,0
34,37214.75,966.01,63,0
44,76758.41,885.33,45,0
68,60019.4,1433.91,73,1
62,54270.4,1297.55,6,1
61,65153.1,1514.7,23,1
42,79308.78,1265.94,94,1
58,68246.55,1609.38,46,1
38,53191.01,1247.3,52,0
53,87073.27,1592.34,65,1
51,93425.34,1635.41,53,1
30,73902.02,797.74,91,1
31,82525.94,295.93,30,0
21,87355.28,1971.75,91,0
25,85341.79,1328.33,25,0
40,76053.79,342.76,45,1
42,75770.25,843.09,70,0
26,74353.89,1585.94,106,0
39,45247.92,1060.16,28,0
49,77613.02,943.97,70,1
30,40595.35,1900.44,8,0
35,50697.21,676.36,9,0
37,88464.17,800.92,92,0
44,80123.96,1305.69,86,1
37,91773.17,1395.23,45,0
56,60109.86,1448.17,75,1
35,44259.52,1655.62,46,0
40,60672.13,1299.29,33,0
37,66836.56,1444.69,52,1
27,66421.8,1070.4,38,0
53,85406.25,1231.35,97,1
30,58497.13,1253.77,49,0
33,71336.62,1307.55,39,0
59,47204.71,1586.27,64,0
67,73105.71,1477.57,91,0
52,65055.95,1222.11,33,1
65,51503.36,795.44,112,1
62,60755.07,1233.84,56,1
43,61684.84,1185.99,79,1
58,60137.21,1296.59,114,1
35,96884.14,2303.26,52,1
41,63227.97,938.11,24,0
45,60609.87,1411.14,89,1
67,27245.88,1734.23,1,1
62,48904.27,1249.0,55,0
43,60264.68,2368.92,117,1
51,52654.65,1010.98,50,0
28,89870.74,1362.04,82,0
59,62031.12,800.6,63,0
46,88192.0,1024.24,26,1
45,66110.68,1324.47,38,0
57,65670.1,1623.15,63,1
50,63401.66,1359.55,13,0
21,65068.33,1829.56,50,1
32,95938.31,1152.52,50,0
27,23247.01,1033.92,100,0
56,28972.18,2551.99,15,1
19,55222.93,1397.12,101,0
28,65261.5,840.26,49,1
49,77421.88,852.87,78,1
54,73515.57,728.66,67,0
44,58083.57,1668.28,36,1
62,83342.79,1017.81,111,1
65,83543.52,1263.68,27,0
24,68313.04,1168.25,5,0
67,82327.84,1565.75,90,1
49,69907.61,776.63,74,1
51,54893.31,662.21,106,0
22,77560.7,1312.15,55,0
50,66991.04,1500.48,3,0
55,65024.12,1366.27,3,0
48,91513.16,795.27,52,1
22,20884.3,1538.74,30,0
45,39481.68,828.07,110,0
66,43632.73,939.23,15,1
55,58461.31,728.02,105,1
25,60417.05,1850.58,26,0
67,37868.14,1516.71,15,1
67,47267.16,1502.5,33,1
26,49504.85,1823.61,18,1
59,109233.63,2606.32,48,1
39,97431.36,345.39,40,0
48,57588.51,830.81,63,0
41,58455.5,891.91,64,1
58,44314.33,774.59,1,0
69,30653.65,661.21,15,0
59,62896.16,1050.17,20,0
66,47038.66,591.7,24,0
67,63472.69,1367.52,12,0
22,36196.29,1225.85,38,0
31,51284.46,1440.51,66,0
55,67675.29,1453.86,37,0
48,71591.77,1501.5,40,1
20,72514.5,1013.3,56,0
22,41231.2,2260.57,66,0
45,80384.34,1317.22,40,0
50,50596.19,268.76,27,0
26,76391.44,698.81,49,0
26,64808.5,329.75,3,0
24,40225.03,1208.67,59,0
47,59308.44,1139.1,113,0
18,71576.55,965.79,48,0
47,76033.38,2205.46,13,1
42,62462.22,1474.49,85,1
42,92572.02,1563.05,16,0
53,83135.19,734.46,24,0
45,60380.23,700.43,18,1
55,78502.19,1218.4,106,1
57,99808.28,1286.5,117,1
65,100288.72,271.84,68,1
59,42896.0,1109.85,74,1
44,48322.4,1207.04,77,1
43,91728.54,1092.43,73,1
30,45950.94,793.3,65,0
49,41194.26,930.23,118,0
25,56248.51,1111.57,88,0
66,72564.08,1245.4,11,0
61,63156.86,1502.4,47,1
24,53289.85,1740.43,116,0
58,52864.18,1052.83,49,0
24,52177.93,971.92,25,0
55,49168.83,1418.83,104,0
22,106069.39,1505.42,75,1
43,70355.2,982.9,67,0
52,80961.66,1595.2,50,1
55,56196.61,1689.79,15,1
39,61652.78,1845.84,46,0
65,52156.03,2089.16,53,0
58,17269.25,766.79,111,0
28,40195.83,1206.95,37,0
52,32408.86,1205.64,18,0
55,24503.89,1150.96,51,0
35,43483.54,875.37,119,0
56,88849.2,457.22,58,0
64,64200.15,1246.34,46,1
60,88230.15,815.82,80,1
57,72397.69,1243.0,78,1
50,79086.06,802.98,36,0
32,48783.85,650.17,116,0
59,74431.12,1317.15,71,1
36,78116.86,1275.46,7,0
45,54620.35,1489.64,49,0
34,75071.73,2292.93,110,1
34,75191.38,1338.64,47,0
26,55108.05,1442.54,68,0
67,44790.17,661.22,73,0
25,43685.69,556.55,84,0
22,66557.1,1991.41,104,0
66,70886.18,738.26,18,0
46,50734.54,678.03,62,1
40,65478.54,1180.45,64,1
56,75269.67,1154.9,19,1
37,76127.43,748.75,81,0
24,92933.84,1047.51,15,0
55,87985.65,1814.69,55,1
27,46976.75,797.0,40,0
46,95304.55,503.16,19,0
67,55442.42,1671.3,98,1
66,83807.71,1446.15,30,1
36,66223.76,889.74,31,0
58,57581.31,408.92,102,1
49,32461.46,827.69,105,0
42,61911.84,1172.65,5,0
25,36931.1,1782.84,34,0
37,82411.39,681.71,85,0
51,92302.27,1157.74,93,1
69,50655.6,1537.57,119,1
18,70435.47,100.0,67,0
55,51942.95,1716.89,1,0
62,53687.27,608.77,104,0
67,78940.9,1366.0,20,1
40,64306.31,1323.34,15,1
24,96313.66,1742.29,81,1
32,56319.82,1475.46,72,1
62,82988.05,100.0,8,0
63,66753.44,807.61,21,1
51,79324.0,1269.1,71,1
24,56951.16,1102.51,31,0
24,64107.94,1438.81,82,0
42,62921.02,1594.68,49,0
48,49950.97,1504.23,70,1
19,76917.47,1092.86,57,0
53,76704.48,276.83,44,1
46,75683.98,972.26,41,0
18,92665.38,1408.18,83,1
22,91088.21,654.78,62,0
41,58251.0,1515.64,71,0
55,71714.94,1654.2,69,1
60,53775.19,1263.43,25,1
40,65420.4,100.0,109,0
33,54204.51,560.96,68,0
68,94161.27,2143.09,86,1
41,71546.57,926.73,105,1
34,61075.48,207.93,111,1
41,86485.13,1817.62,80,1
18,25928.92,1206.68,94,0
33,28746.15,1752.47,57,0
44,79325.1,1338.48,88,0
65,66088.43,1429.28,39,0
56,69508.03,1381.5,85,1
58,41124.87,1548.74,11,0
46,64581.79,2338.72,109,1
23,101063.17,1685.5,30,1
38,79835.59,409.83,79,0
69,68054.72,1423.33,2,0
20,57097.03,1770.74,19,0
63,57897.69,1801.35,118,1
53,26674.44,986.7,100,0
32,69637.53,1782.47,27,0
58,80218.7,1663.87,16,0
61,36638.85,2486.26,97,1
20,53094.5,825.0,118,0
23,44165.64,946.3,21,0
52,47623.68,1046.94,80,0
69,65962.67,954.89,34,1
19,27480.76,754.99,89,0
52,76056.87,100.0,50,0
25,78569.39,982.65,15,0
51,60480.15,1384.68,39,0
50,20347.25,953.39,65,0
22,47064.46,2167.69,96,1
53,87192.23,1206.69,3,0
64,15000.0,1845.51,114,1
62,58744.58,1330.71,78,0
19,43759.99,1613.2,105,0
30,79482.27,1339.62,111,1
30,52847.95,1884.39,19,0
41,72271.17,1227.97,12,0
25,75178.29,1448.06,93,0
62,98052.07,1383.17,23,1
58,61347.05,1055.86,18,1
60,71768.8,1402.49,56,1
28,38269.0,2317.19,109,0
18,86427.44,1064.8,95,0
65,51310.84,1409.73,62,0
33,54906.43,1828.89,24,0
52,64599.54,1770.13,41,1
65,36868.08,1205.86,82,0
19,69117.86,100.0,19,0
18,82414.39,1458.35,63,0
18,70272.81,100.0,2,0
26,36399.84,1934.97,39,0
20,62771.43,1284.74,30,0
60,78356.52,1699.84,82,1
49,31196.2,748.94,109,1
68,45654.21,423.75,18,0
59,80777.78,1330.38,95,1
68,69861.72,1183.2,79,0
30,72415.49,954.23,116,1
32,98470.91,1242.33,109,0
62,73433.95,2583.72,12,1
30,76841.98,1617.26,89,0
20,113793.42,1724.75,71,0
52,61151.52,1621.97,14,0
59,50638.11,1939.73,31,1
68,72700.34,1104.96,111,1
66,72901.84,172.62,65,1
24,55519.12,1105.71,41,0
58,46416.85,1605.87,39,0
61,106577.2,715.1,100,1
54,70883.18,1111.82,34,1
60,51818.86,854.12,19,0
61,81486.75,1951.01,69,1
41,63035.39,1574.73,119,1
20,60448.13,1525.77,22,0
41,75120.91,1510.8,31,0
28,41746.12,1181.38,56,0
23,71347.29,1298.78,24,0
24,99433.19,607.41,78,0
54,73391.2,106.78,31,0
44,58228.18,1275.04,16,0
46,55872.1,1362.0,32,0
56,57613.88,1804.63,111,1
46,60428.67,1985.67,112,1
50,58199.48,1985.0,61,0
22,81493.61,700.99,48,1
62,33802.24,1023.87,98,1
41,80516.0,1440.17,24,0
26,58165.64,2465.95,78,1
60,71785.06,1940.05,81,0
56,44714.22,1759.7,85,0
20,88915.36,1006.11,26,0
28,87421.43,758.4,86,0
18,82272.63,1594.45,73,0
32,37734.41,649.67,105,0
23,79924.18,1080.78,21,0
54,72287.39,1142.61,74,1
